"_id","type","fabric","supplies","steps","notes","disclaimer","source","source_url"
"272","Pencil","Washable fabrics","Pretreatment aerosol product;Detergent;Dry cleaning fluid","Use a soft eraser to remove excess. Be careful not to distort fabric weave.;Spray with pretreatment aerosol product.;Rub in heavy-duty liquid detergent.;Rinse and launder.;If stain remains, commercial pencil mark removers are available from some quilt supply stores or mail order supplies.;Dry cleaning fluid should not be used on most modern quilting fabric.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"273","Perspiration","Washable fabrics","Enzyme product;Ammonia","Pretreat with enzyme product.;If fabric has discolored, treat fresh stains with ammonia and old stains with vinegar.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"274","Perspiration","Upholstery","Detergent;Ammonia;White vinegar;Rubbing alcohol","Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Using a clean white cloth, sponge the stain with the detergent/ammonia solution;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears or is no longer absorbed into the cloth.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Sponge the stain with the detergent/vinegar solution.;Blot until the liquid is absorbed.;Repeat Steps 6 and 7 until the stain disappears or is no longer absorbed into the cloth.;Sponge the stain with rubbing alcohol.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"275","Pine resin","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"276","Pine resin","Carpet","Rubbing alcohol;Detergent;Turpentine","Using a clean white cloth, sponge with rubbing alcohol.;Tamp the stain.;Blot until the liquid is absorbed.;If the stain remains, sponge with turpentine.;Mix one tablespoon of liquid dishwashing detergent with two cups of warm water.;Sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat with alternating applications of turpentine and detergent solution until the stain disappears.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"277","Pine resin","Upholstery","Rubbing alcohol;turpentine;detergent","Using a clean white cloth, sponge the stain with rubbing alcohol.;Tamp the stain.;Blot until the liquid is absorbed.;If the stain remains, sponge with turpentine.;Mix one tablespoon of liquid dishwashing detergent with two cups of cool water.;Sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat, with alternating applications of turpentine and detergent solution until the stain disappears.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"278","Plastic","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"279","Playdough","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"280","Pollen","Carpet","Dry cleaning solvent","Vacuum off the pollen particles.;Use the sticky side of a piece of tape to carefully lift off the remaining particles.;Using a clean white cloth, sponge the stain with dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 3 and 4 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"281","Pollen","Upholstery","Dry cleaning solvent","Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"282","Potatoes (mashed)","Carpet","Detergent","Scrape off excess potato.;Mix one tablespoon of liquid dishwashing detergent with two cups of warm water.;Sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 3 and 4 until the stain disappears.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"283","Potatoes (mashed)","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"284","Pudding","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach;Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.;Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"285","Pudding","Carpet","Detergent;Ammonia","Scrape off excess foreign material.;Mix one tablespoon of liquid dishwashing detergent with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 3 and 4 until the stain disappears.;If the stain remains, mix one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the ammonia solution.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"286","Putty","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"287","Raspberry","Upholstery","Detergent;White vinegar;Rubbing alcohol;Detergent;Ammonia","Mix one (1) tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent/vinegar solution. Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cool water, blot until the liquid is absorbed.;Sponge the stain with rubbing alcohol; blot to remove the stain.;If the stain remains, mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the detergent/ammonia solution.  Leave it on the stain for at least 30 minutes, blotting every five minutes with a clean white cloth and more solution.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"288","Red dye","Washable fabrics","Detergent;White vinegar;Color remover;Ammonia","Soak the item in a solution of 1 quart warm water, 1/2 teaspoon liquid dishwashing or laundry detergent, and 1 tablespoon ammonia for 30 minutes.;Rinse well.;If stain persists, soak in a solution of 1 quart warm water and 1 tablespoon white vinegar for 1 hour. Use white vinegar with care on cotton and linen.;Rinse well with water and allow to dry.;If stain is set, try applying rubbing alcohol to the area and tamping (the method of bringing a brush down with light strokes on stained durable fabrics and materials).;As stain loosens, blot liquid and stain with absorbent pad.;Keep both the stain and pad moist with alcohol and change pad as it picks up stain.;Allow to dry.;As a last resort for any remaining traces of stain, mix Rit Color Remover according to package direction and apply to stain.;After testing on a hidden place, flush the solution through the stain.;Rinse well with clear water and allow to dry thoroughly.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"289","Red dye","Upholstery","Detergent;Ammonia;White vinegar;Rubbing alcohol","Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Using a clean white cloth, sponge the stain with the detergent/ammonia solution;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears or is no longer absorbed into the cloth.;If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water.;Sponge the stain with the detergent/vinegar solution.;Blot until the liquid is absorbed.;Repeat Steps 6 and 7 until the stain disappears or is no longer absorbed into the cloth.;Sponge the stain with rubbing alcohol.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"290","Relish","Carpet","Detergent;Ammonia","Scrape off excess foreign material.;Mix one tablespoon of liquid dishwashing detergent with two cups of warm water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 3 and 4 until the stain disappears.;If the stain remains, mix one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous);Sponge the stain with the ammonia solution.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"291","Relish","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"292","Rubber cement","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.","Rub area with ice and scrape with side of dull knife. Proceed as above.",,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"293","Rubber cement","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide;Dull knife;Wet vacuum (for spilled liquid);Detergent;3% Hydrogen peroxide","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.;Blot up as much of the stain as is possible by blotting with a white paper towel or scraping with a dull knife. A wet vacuum is useful if a large quantity of liquid was spilled.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"294","Rubber cement","Upholstery","Dry cleaning solvent","Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"295","Rust","Washable fabrics","Nonprecipitating water softener","Do not use chlorine bleach on rust stain or in water containing large amounts of iron.;For a rusty water problem, use a nonprecipitating water softener, such as Calgon or Spring Rain, in both wash and rinse water.;For severe problems, install an iron filter in the water system.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"296","Rust","Carpet","Lemon Juice;Detergent;3% Hydrogen peroxide;Carpet Shampoo;Rubbing Alcohol;Vacuum","Saturate spot with lemon juice, using a spray bottle, and remain on the spot for 5 minutes.;Then go to the next step to remove lemon juice. If this does not work, and it may not, call a professional. Most rust removers contain a very strong acid and are, therefore, not recommended for use by homeowners.;Blot up as much of the liquid with a white paper towel.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary. Apply pad of paper towels and weight down with brick.;Sponge with rubbing alcohol (or a solution of rubbing alcohol and water).;Blot quickly with clean dry towel.;Repeat several times until no more stain is absorbed into towel.;Apply diluted carpet shampoo (1 part liquid carpet shampoo to 4 parts water) with a brush or towel.;Let the area dry thoroughly, and then vacuum.;Repeat if needed.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"297","Salad dressing","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"298","Salad dressing","Upholstery","Absorbent;Dry cleaning solvent","Sprinkle baking soda, cornstarch, or other absorbent on the stain.  Let stand 10 to 15 minutes, and then vacuum.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"299","Salsa","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"300","Salsa","Carpet","Detergent;Ammonia","1. Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of warm water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears or no more stain is absorbed into the cloth.;If the stain remains, mix one (1) tablespoon of ammonia with ½ cup of warm water. (Caution: Never mix chlorine bleach and ammonia – resulting fumes that are hazardous);Sponge the stain with the ammonia solution.;Blot until the liquid is absorbed.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"301","Salsa","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"302","Sap","Carpet","Rubbing alcohol;Detergent;Turpentine","Using a clean white cloth, sponge with rubbing alcohol.;Tamp the stain.;Blot until the liquid is absorbed.;If the stain remains, sponge with turpentine.;Mix one tablespoon of liquid dishwashing detergent with two cups of warm water.;Sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat with alternating applications of turpentine and detergent solution until the stain disappears.;Sponge with cold water and blot dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"303","Sap","Upholstery","Detergent;Dry cleaning solvent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.;Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"304","School glue","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"305","Scorch","Washable fabrics","Detergent;All-fabric bleach","If fabric is thick and fuzzy, brush to remove charring.;Rub liquid detergent into scorched area.;Launder.;If stain remains, bleach with all-fabric bleach.;Melted or glazed areas on synthetic blends cannot be fully restored.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"306","Shaving cream","Washable fabrics","Liquid hand dishwashing detergent;White vinegar;Rubbing alcohol;Enzyme presoak product;Chlorine bleach or oxygen bleach","Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse.;Sponge with rubbing alcohol, using light motions from center to edge of stain.;Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products.;If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"307","Shaving cream","Upholstery","Detergent","Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water.;Using a clean white cloth, sponge the stain with the detergent solution.;Blot until the liquid is absorbed.;Repeat Steps 2 and 3 until the stain disappears.;Sponge with cold water and blot dry to remove the detergent solution.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"308","Sherbet","Washable fabrics","Blunt kitchen knife;Liquid hand dishwashing Detergent;Ammonia;Enzyme product;Chlorine bleach or oxygen bleach","Scrape off excess material.;Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia.;Rub gently from back to loosen stain.;Soak another 15 minutes in above mixture. Rinse.;Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder.;If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Caution: Never mix chlorine bleach with ammonia - fumes are hazardous.","University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"309","Shoe dye","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"310","Shoe polish","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"311","Shoe polish","Carpet","Isopropyl rubbing alcohol;Detergent;Hydrogen peroxide","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never use a circular motion to remove the spot as this may destroy the texture. Stop if spot is removed. If not, continue with the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent solution and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.;If there is still some stain on the carpet and blotting is not removing it, then moisten the tufts in the stained area with 3% hydrogen peroxide. Let stand for on (1) hour. Blot and repeat until carpet is stain free. Light will cause peroxide to change back to water so no rinsing is necessary.;Apply pad of paper towels and weight down with brick.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"312","Shoe polish","Upholstery","Dry cleaning solvent","Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"313","Shortening","Carpet","Dull knife;Rubbing alcohol;Detergent","Remove as much of the foreign material as possible by blotting with a white paper towel or scraping with a dull knife.;Apply rubbing alcohol to a clean white cloth, white paper towel or cotton ball. If the spot extends deep into the pile use a blotting motion until the spot is removed or no color is transferred to the cloth. Do not allow the alcohol to penetrate into the backing as this will destroy the latex bond. If the spot is on the surface only, rub in one direction at a time. Never us a circular motion to remove spot as this may destroy the texture. Stop if spot is removed. If not, go to the next step.;Apply a small quantity of detergent solution to the spot. (To make the detergent solution mix 1/4 teaspoon of a hand dishwashing detergent which does not contain lanolin or bleach with 1 quart of water) Use a blotting motion to work the detergent into the affected area. If spot is being removed continue applying detergent and blotting with a white paper towel until spot is removed.;Rinse with tap water using a spray bottle, blot to remove excess moisture.;Spray lightly with water, do not blot this time; apply pad of paper towels and brick and allow to dry.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"314","Smoke","Washable fabrics","Pretreatment laundry stain remover;Heavy-duty liquid detergent;Chlorine bleach or oxygen bleach;Dry cleaning solvent;Absorbent paper towels","Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately.;If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach.;For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.","Severely smoke-stained articles should be professionally dry cleaned. For smaller stains, shake off excess soot outdoors. Launder in washing machine using heavy-duty liquid or powdered detergent, one cup of water conditioner, and ½ cup of all-fabric bleach. Use water temperature for the fabric. Air dry. Inspect for smoke odor. Repeat if necessary. It may take 2-3 washings.",,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
"315","Smoke","Upholstery","Dry cleaning solvent","Using a clean white cloth, sponge the stain with the dry cleaning solvent.;Blot until the solvent is absorbed.;Repeat Steps 2 and 3 until the stain disappears.",,,"University of Illinois Extension: Stain Solutions","http://web.extension.illinois.edu/stain/stains.cfm"
